artist,name,type,country,birthdate,deathdate
Pharrell Williams,Pharrell Williams,Person,US,1973-04-05,False
Jordan Davis,Miles Davis,Person,US,1926-05-26,True
SZA,SZA,Person,US,1989-11-08,False
Bailey Zimmerman,Bailey Zimmerman,Person,US,2000-01-27,False
Selena Gomez,Selena Gomez,Person,US,1992-07-22,False
Lil Durk,Lil Durk,Person,US,1992-10-19,False
mgk,mgk,Person,US,1990-04-22,False
Key Glock,Key Glock,Person,US,1997-08-03,False
LE SSERAFIM,LE SSERAFIM,Group,KR,2022-03-28,False
Dua Lipa,Dua Lipa,Person,GB,1995-08-22,False
Bryson Tiller,Bryson Tiller,Person,US,1993-01-02,False
Yeat,Yeat,Person,US,2000-02-26,False
Djo,Djo,Person,US,1992-04-24,False
KAROL G,KAROL G,Person,CO,1991-02-14,False
Fuerza Regida,Fuerza Regida,Group,MX,2015,False
¥$,¥$,Group,US,2023,False
DJ Cover This,Cover,Group,PL,,False
Noah Kahan,Noah Kahan,Person,US,1997-01-01,False
Diezzle Don,Don Gibson,Person,US,1928-04-03,True
King Hendrick$,King Hendrick$,,,,False
Latto,Latto,Person,US,1998-12-22,False
Don Toliver,Don Toliver,Person,US,1994-06-12,False
Tracy Chapman,Tracy Chapman,Person,US,1964-03-30,False
Billy Joel,Billy Joel,Person,US,1949-05-09,False
Lil Yachty,Lil Yachty,Person,US,1997-08-23,False
Michael Marcagi,Michael Marcagi,Person,,,False
Megan Thee Stallion,Megan Thee Stallion,Person,US,1995-02-15,False
Tom MacDonald,Tom MacDonald,Person,CA,1988-09-21,False
Justin Timberlake,Justin Timberlake,Person,US,1981-01-31,False
Nicki Minaj,Nicki Minaj,Person,US,1982-12-08,False
Morgan Wallen,Morgan Wallen,Person,US,1993-05-13,False
Ice Spice,Ice Spice,Person,US,2000-01-01,False
YG Marley,YG Marley,Person,,,False
Good Neighbours,Good Neighbours,Group,GB,,False
Rich Amiri,Rich Amiri,Person,,2004-02-06,False
Conner Smith,Conner Smith,Person,US,2000-09-16,False
Christian Nodal,Christian Nodal,Person,MX,1999-01-11,False
Chris Janson,Chris Janson,Person,US,1986-04-02,False
Megan Moroney,Megan Moroney,Person,,1996-12-16,False
David Kushner,David Kushner,Person,US,,False
Oscar Ortiz,Oscar Ortiz,,,,False
Chris Brown,Chris Brown,Person,US,1989-05-05,False
21 Savage,21 Savage,Person,US,1992-10-22,False
Kali Uchis,Kali Uchis,Person,US,1994-07-17,False
Lil Nas X,Lil Nas X,Person,US,1999-04-09,False
That Mexican OT,That Mexican OT,Person,US,,False
Muni Long,Muni Long,Person,US,1988-09-14,False
4batz,4batz,Person,US,2001-08-06,False
Dylan Gossett,Dylan Gossett,Person,,,False
Fridayy,Fridayy,,,,False
Tee Grizzley,Tee Grizzley,Person,,1994-03-23,False
Kane Brown,Kane Brown,Person,US,1993-10-21,False
Chayce Beckham,Chayce Beckham,Person,US,,False
Sophie Ellis-Bextor,Sophie Ellis‐Bextor,Person,GB,1979-04-10,False
Lainey Wilson,Lainey Wilson,Person,US,1992-05-19,False
The Jackson 5,The Jacksons,Group,US,1966,True
Perry Como,Perry Como,Person,US,1912-05-18,True
Brett Eldredge,Brett Eldredge,Person,US,1986-03-23,False
Lil Baby,Lil Baby,Person,US,1994-12-03,False
Flo Milli,Flo Milli,Person,,2000-01-09,False
Juice WRLD,Juice WRLD,Person,US,1998-12-02,True
George Birge,George Birge,Person,,,False
The Red Clay Strays,The Red Clay Strays,Group,,,False
Cher,Cher,Person,US,1946-05-20,False
Maurice Ravel,Maurice Ravel,Person,FR,1875-03-07,True
The Weeknd,The Weeknd,Person,CA,1990-02-16,False
Tate McRae,Tate McRae,Person,CA,2003-07-01,False
BigXthaPlug,BigXthaPlug,Person,US,,False
Sabrina Carpenter,Sabrina Carpenter,Person,US,1999-05-11,False
Drake,Drake,Person,CA,1986-10-24,False
Luke Combs,Luke Combs,Person,US,1990-03-02,False
André 3000,André 3000,Person,US,1975-05-27,False
Jack Harlow,Jack Harlow,Person,US,1998-03-13,False
Stray Kids,Stray Kids,Group,KR,2017-10-17,False
Riley Green,Riley Green,Person,US,1988-10-18,False
YoungBoy Never Broke Again,YoungBoy Never Broke Again,Person,US,1999-10-20,False
310babii,310babii,Person,US,,False
Jung Kook,Jung Kook,Person,KR,1997-09-01,False
The Beatles,The Beatles,Group,GB,1960-01-01,True
The Kid LAROI,The Kid LAROI,Person,AU,2003-08-16,False
Carly Pearce,Carly Pearce,Person,US,1990-04-24,False
The Citizens of Halloween,Halloween,Group,US,1984,False
Lil Mabu,Lil Mabu,Person,,2005-04-04,False
Parker McCollum,Parker McCollum,Person,US,1992-06-15,False
Troye Sivan,Troye Sivan,Person,AU,1995-06-05,False
Bad Bunny,Bad Bunny,Person,PR,1994-03-10,False
Offset,Offset,Person,US,1991-12-14,False
BoyWithUke,BoyWithUke,Person,US,2002-08-25,False
Jessie Murph,Jessie Murph,Person,,2004-09-22,False
Junior H,Junior H,Person,MX,2000-04-23,False
*NSYNC,*NSYNC,Group,US,1995,False
Thomas Rhett,Thomas Rhett,Person,US,1990-03-30,False
Tyla,Tyla,Person,SA,2002-01-30,False
Sqweez,,,,,
Dustin Lynch,Dustin Lynch,Person,US,1985-05-14,False
Russell Dickerson,Russell Dickerson,Person,US,1987-05-07,False
Zach Bryan,Zach Bryan,Person,US,1996-04-02,False
Doja Cat,Doja Cat,Person,US,1995-10-21,False
Lil Tecca,Lil Tecca,Person,US,2002-08-26,False
blink-182,blink‐182,Group,US,1992-08-01,False
Mitski,Mitski,Person,US,1990-09-27,False
Maluma,Maluma,Person,CO,1994-01-28,False
Dylan Scott,Bob Dylan,Person,US,1941-05-24,False
Rod Wave,Rod Wave,Person,US,1999-08-27,False
Diddy,Diddy,Person,US,1969-11-04,False
Kenya Grace,Kenya Grace,Person,GB,,False
Paul Russell,Paul McCartney,Person,GB,1942-06-18,False
Chris Jedi,Chris Jedi,Person,PR,,False
Jimmy Buffett,Jimmy Buffett,Person,US,1946-12-25,True
Party Tyme,Tyme.,,,,False
Timbaland,Timbaland,Person,US,1972-03-10,False
Miley Cyrus,Miley Cyrus,Person,US,1992-11-23,False
Burna Boy,Burna Boy,Person,NG,1991-07-02,False
Gucci Mane,Gucci Mane,Person,US,1980-02-12,False
Carin Leon,Carin León,Person,MX,1989-07-26,False
Victoria Monét,Victoria Monét,Person,US,1993-05-01,False
Tim McGraw,Tim McGraw,Person,US,1967-05-01,False
Polo G,Polo G,Person,US,1999-01-06,False
Oliver Anthony Music,Oliver Anthony,Person,US,1992-06-30,False
DJ Khaled,DJ Khaled,Person,US,1975-11-26,False
Cody Johnson,Cody Johnson,Person,US,1987-05-21,False
Warren Zeiders,Warren Zeiders,Person,,,False
Dominic Fike,Dominic Fike,Person,,1995-12-30,False
Teddy Swims,Teddy Swims,Person,US,1992-09-25,False
USHER,Usher,Person,US,1978-10-14,False
Grupo Frontera,Grupo Frontera,Group,US,2022-06-08,False
Travis Scott,Travis Scott,Person,US,1991-04-30,False
Topaz Jones,Topaz Jones,Person,,,False
YMR,,,,,
The Hit Crew,The Hit Crew,Group,US,,False
Lou CharLe$,Charle$,,,,False
Tyler Childers,Tyler Childers,Person,US,1991-06-21,False
Yung Lean,Yung Lean,Person,SE,1996-07-18,False
Post Malone,Post Malone,Person,US,1995-07-04,False
Chris Stapleton,Chris Stapleton,Person,US,1978-04-15,False
Diplo,Diplo,Person,US,1978-11-10,False
Charli XCX,Charli XCX,Person,,1992-08-02,False
NewJeans,NewJeans,Group,KR,2022-07-22,False
Ryan Gosling,Ryan Gosling,Person,CA,1980-11-12,False
Luke Bryan,Luke Bryan,Person,US,1976-07-17,False
Rylo Rodriguez,Rylo Rodriguez,Person,US,1993-09-30,False
Jason Aldean,Jason Aldean,Person,US,1977-02-28,False
PHONK,Phonk,,,,False
Dan + Shay,Dan + Shay,Group,US,2012-12,False
Quavo,Quavo,Person,US,1991-04-02,False
Ryan Castro,Ryan Castro,Person,CO,1994-01-14,False
FendiDa Rappa,FendiDa Rappa,Person,,1995-09-27,False
Myke Towers,Myke Towers,Person,PR,1994-01-15,False
Lil Uzi Vert,Lil Uzi Vert,Person,US,1995-07-31,False
Tainy,Tainy,Person,PR,1989-08-09,False
Fall Out Boy,Fall Out Boy,Group,US,2001,False
Young Thug,Young Thug,Person,US,1991-08-16,False
Lyrical Lemonade,Lyrical Lemonade,Other,,2013-03-25,False
Only The Family,Only the Family,Group,,,False
Parmalee,Parmalee,Group,US,,False
Feid,Feid,Person,CO,1992-08-19,False
BTS,BTS,Group,KR,2013-06-13,False
El Alfa,El Alfa,Person,DO,1990-12-18,False
HARDY,Françoise Hardy,Person,FR,1944-01-17,False
Baby Keem,Baby Keem,Person,US,2000-10-22,False
Bizarrap,Bizarrap,Person,AR,1998,False
Metro Boomin,Metro Boomin,Person,US,1993-09-16,False
Anya Nami,Anya Nami,Person,US,,False
Moneybagg Yo,Moneybagg Yo,Person,US,1991-09-22,False
Young Nudy,Young Nudy,Person,US,1992-12-17,False
Badboi Jay,DJ badboi,Person,,,False
Jacquees,Jacquees,Person,US,1994-04-15,False
grandson,grandson,Person,CA,1993-10-25,False
Lana Del Rey,Lana Del Rey,Person,US,1985-06-21,False
Summer Walker,Summer Walker,Person,US,1996-04-11,False
Kodak Black,Kodak Black,Person,US,1997-06-11,False
David Guetta,David Guetta,Person,FR,1967-11-07,False
Hailey Whitters,Hailey Whitters,Person,US,1989-09-09,False
Jon Pardi,Jon Pardi,Person,US,1985-05-20,False
Kaliii,Kaliii,Person,US,2000-07-29,False
Anuel AA,Anuel AA,Person,PR,1992-11-27,False
JENNIE,JENNIE,Person,KR,1996-01-16,False
DaBaby,DaBaby,Person,US,1991-12-22,False
Ed Sheeran,Ed Sheeran,Person,GB,1991-02-17,False
Doechii,Doechii,Person,US,1998-08-14,False
Jonas Brothers,Jonas Brothers,Group,US,2005,False
Libianca,Libianca,Person,US,2001,False
Kim Petras,Kim Petras,Person,US,1992-08-27,False
Agust D,Agust D,Person,KR,1993-03-09,False
Yahritza Y Su Esencia,Yahritza y su Esencia,Group,,,False
"Tyler, The Creator","Tyler, the Creator",Person,US,1991-03-06,False
Becky G,Becky G,Person,US,1997-03-02,False
Grupo Marca Registrada,Marca Registrada,Group,,2014,False
Scotty McCreery,Scotty McCreery,Person,US,1993-10-09,False
NF,NF,Person,US,1991-03-30,False
Jack Black,Black Jack,Group,,1991,False
Labrinth,Labrinth,Person,GB,1989-01-04,False
HUGEL,HUGEL,Person,FR,1987-12-04,False
Melanie Martinez,Melanie Martinez,Person,US,1995-04-28,False
Laurie Miller,Laurie Miller,Person,US,,False
Kanii,KANII,Person,US,2005-08-02,False
Nardo Wick,Nardo Wick,Person,US,2001-12-30,False
Jimin,Jimin,Person,KR,1995-10-13,False
ROSALÍA,ROSALÍA,Person,ES,1992-09-25,False
Lola Brooke,Lola Brooke,Person,US,,False
Old Dominion,Old Dominion,Group,US,2007,False
7KINGIN,,,,,
Yng Lvcas,Yng Lvcas,Person,,,False
Chino Pacas,Chino Pacas,Person,MX,2007-10-18,False
Eladio Carrion,Eladio Carrión,Person,PR,1994-11-14,False
Coco Jones,Coco Jones,Person,US,1998-01-04,False
Russ,Russ,Person,US,1992-09-26,False
FIFTY FIFTY,FIFTY FIFTY,Group,KR,2022-11-10,False
Vanessa Carlton,Vanessa Carlton,Person,US,1980-08-16,False
j-hope,j‐hope,Person,KR,1994-02-18,False
Lil Wayne,Lil Wayne,Person,US,1982-09-27,False
Halsey,Halsey,Person,US,1994-09-29,False
Toosii,Toosii,Person,US,2000-01-09,False
Niall Horan,Niall Horan,Person,IE,1993-09-13,False
Lizzy McAlpine,Lizzy McAlpine,Person,,1999-09-21,False
P!nk,P!nk,Person,US,1979-09-08,False
NLE Choppa,NLE Choppa,Person,US,2002-11-01,False
Dierks Bentley,Dierks Bentley,Person,US,1975-11-20,False
Ember Island,Ember Island,Group,SE,,False
Linkin Park,Linkin Park,Group,US,1999,False
Rihanna,Rihanna,Person,US,1988-02-20,False
Superstar Pride,Superstar Pride,,,,False
PinkPantheress,PinkPantheress,Person,GB,2001-04-18,False
Falling In Reverse,Falling in Reverse,Group,US,2008,False
Yandel,Yandel,Person,PR,1977-01-14,False
Sam Smith,Sam Smith,Person,GB,1992-05-19,False
Oscar Maydon,Oscar Maydon,,,,False
Ozuna,Ozuna,Person,PR,1992-03-13,False
Trippie Redd,Trippie Redd,Person,US,1999-06-18,False
Tiësto,Tiësto,Person,NL,1969-01-17,False
TWICE,TWICE,Group,KR,2015-07-07,False
Natanael Cano,Natanael Cano,Person,,2001-03-27,False
Finesse2tymes,Finesse2tymes,Person,US,1992-06-10,False
ThxSoMch,ThxSoMch,Person,,,False
TAEYANG,TAEYANG,Person,KR,1988-05-18,False
Mac DeMarco,Mac DeMarco,Person,CA,1990-04-30,False
Miguel,Miguel,Person,US,1985-10-23,False
Brett Young,Brett Young,Person,US,1981-03-23,False
Lady Gaga,Lady Gaga,Person,US,1986-03-28,False
Tory Lanez,Tory Lanez,Person,CA,1992-07-27,False
d4vd,d4vd,Person,US,2005-03-28,False
Hotel Ugly,Hotel Ugly,,,,False
Coi Leray,Coi Leray,Person,US,1997-05-11,False
Ñengo Flow,Ñengo Flow,Person,PR,1981-10-15,False
John Lennon,John Lennon,Person,GB,1940-10-09,True
Pentatonix,Pentatonix,Group,US,2011,False
Metallica,Metallica,Group,US,1981-10-28,False
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,Person,US,1995-12-06,False
Arcángel,Arcángel,Person,PR,1985-12-23,False
RM,RM,Person,KR,1994-09-12,False
Kelly Clarkson,Kelly Clarkson,Person,US,1982-04-24,False
Elvis Presley,Elvis Presley,Person,US,1935-01-08,True
RAYE,RAYE,Person,GB,1997-10-24,False
Lauren Spencer Smith,Lauren Spencer Smith,Person,CA,2003-09-28,False
Lizzo,Lizzo,Person,US,1988-04-27,False
Rico Nasty,Rico Nasty,Person,US,1997-05-07,False
Joji,Joji,Person,US,1992-09-18,False
JIN,Jin Jin,,,,False
Meghan Trainor,Meghan Trainor,Person,US,1993-12-22,False
Oliver Tree,Oliver Tree,Person,US,1993-06-29,False
Marshmello,Marshmello,Person,US,1992-05-19,False
Rauw Alejandro,Rauw Alejandro,Person,PR,1993-01-10,False
YG,YG,Person,US,1990-03-09,False
Lewis Capaldi,Lewis Capaldi,Person,GB,1996-10-17,False
Zac Brown Band,Zac Brown Band,Group,US,2000,False
AJR,AJR,Group,US,2006,False
Jimmie Allen,Jimmie Allen,Person,US,1986-06-18,False
BLACKPINK,BLACKPINK,Group,KR,2016-08-08,False
Omar Apollo,Omar Apollo,Person,US,1997-05-20,False
Little Big Town,Little Big Town,Group,US,1998,False
Yung Bleu,Bleu,Person,US,1975-07-18,False
Steve Lacy,Steve Lacy,Person,US,1934-07-23,True
EST Gee,EST Gee,Person,US,1994-05-11,False
Ghost,Ghost,Group,SE,2008,False
Rema,Rema‐Rema,Group,GB,1979,True
Armani White,Armani White,Person,,1996-09-25,False
Romeo Santos,Romeo Santos,Person,US,1981-07-21,False
Elton John,Elton John,Person,GB,1947-03-25,False
Lil Tjay,Lil Tjay,Person,US,2001-04-30,False
Kanye West,Ye,Person,US,1977-06-08,False
JVKE,JVKE,Person,US,2001-03-01,False
karaoke SESH,Sesh,Group,,2019,False
Jackson Dean,Dean Martin,Person,US,1917-06-07,True
Demi Lovato,Demi Lovato,Person,US,1992-08-20,False
Rosa Linn,Rosa Linn,Person,AM,2000-03-20,False
Lee Brice,Lee Brice,Person,US,1979-06-10,False
Manuel Turizo,Manuel Turizo,Person,CO,2000-04-12,False
benny blanco,benny blanco,Person,US,1988-03-08,False
NAV,NAV,Person,,1989-11-03,False
Jax,Jax Jones,Person,GB,1987-07-25,False
Billie Eilish,Billie Eilish,Person,US,2001-12-18,False
John Rich,John Rich,Person,US,1974-01-07,False
Justin Moore,Justin Moore,Person,US,1984-03-30,False
Mac Miller,Mac Miller,Person,US,1992-01-19,True
Mitchell Tenpenny,Mitchell Tenpenny,Person,US,1989-08-17,False
Tems,Tems,Person,NG,1995-06-11,False
Chris Young,Neil Young,Person,CA,1945-11-12,False
Gabby Barrett,Gabby Barrett,Person,US,2000-03-05,False
Brent Faiyaz,Brent Faiyaz,Person,US,1995-09-19,False
Yung Gravy,Yung Gravy,Person,US,1996-03-19,False
City Girls,Sun City Girls,Group,US,1981,True
Ingrid Andress,Ingrid Andress,Person,US,1991-09-21,False
Jake Owen,Jake Owen,Person,US,1981-08-28,False
Sia,Sia,Person,AU,1975-12-18,False
Charlie Puth,Charlie Puth,Person,US,1991-12-02,False
Eminem,Eminem,Person,US,1972-10-17,False
Corey Kent,Corey Kent,Person,US,,False
OneRepublic,OneRepublic,Group,US,2004,False
Kate Bush,Kate Bush,Person,GB,1958-07-30,False
SleazyWorld Go,SleazyWorld Go,Person,,1998-01-17,False
Sleepy Hallow,Sleepy Hallow,Person,US,1999-12-20,False
Calvin Harris,Calvin Harris,Person,,1984-01-17,False
Cole Swindell,Cole Swindell,Person,US,1983-06-30,False
Nicky Youre,Nicky Youre,Person,US,1999-06-04,False
Hitkidd,Hitkidd,Person,,,False
Keith Urban,Keith Urban,Person,AU,1967-10-26,False
Stephen Sanchez,Stephen King,Person,US,1947-09-21,False
Harry Styles,Harry Styles,Person,GB,1994-02-01,False
Ella Mai,Ella Mai,Person,GB,1994-11-03,False
Kendrick Lamar,Kendrick Lamar,Person,US,1987-06-17,False
Abioye Alejandro Gotti,Yo Gotti,Person,US,1981-05-19,False
Blake Roman,Blake Roman,Person,US,,False
Roger Daltrey,Roger Daltrey,Person,GB,1944-03-01,False
Justin Bieber,Justin Bieber,Person,CA,1994-03-01,False
PSY,PSY,Person,KR,1977-12-31,False
Southside,Southside,Person,US,1989-02-02,False
Pusha T,Pusha T,Person,US,1977-05-14,False
Kay Flock,Kay Flock,Person,US,2003-04-20,False
6ix9ine,6ix9ine,Person,US,1996-05-08,False
42 Dugg,42 Dugg,Person,US,1993-11-25,False
Chlöe,Chloé,Person,FR,1976-04-20,False
BRELAND,BRELAND,Person,US,1995-07-18,False
Shawn Mendes,Shawn Mendes,Person,CA,1998-08-08,False
Dreamville,Dreamville,Group,US,2007,False
5 Seconds of Summer,5 Seconds of Summer,Group,AU,2011,False
Daddy Yankee,Daddy Yankee,Person,PR,1977-02-03,False
Anitta,Anitta,Person,BR,1993-03-30,False
J Balvin,J Balvin,Person,CO,1985-05-07,False
4*TOWN (From Disney and Pixar’s Turning Red),4*TOWN,Other,CA,2022-02-21,False
Carrie Underwood,Carrie Underwood,Person,US,1983-03-10,False
AnnenMayKantereit,AnnenMayKantereit,Group,DE,2011,False
Lucky Daye,Lucky Daye,Person,US,1985-09-25,False
Kevin Gates,Kevin Gates,Person,US,1986-02-05,False
Nirvana,Nirvana,Group,US,1987,True
Bruno Mars,Bruno Mars,Person,US,1985-10-08,False
Flume,Flume,Person,AU,1991-11-05,False
Imagine Dragons,Imagine Dragons,Group,US,2008,False
King Von,Stephen King,Person,US,1947-09-21,False
Hippie Sabotage,Hippie Sabotage,Group,US,,False
Tyga,Tyga,Person,US,1989-11-19,False
JNR CHOI,Jnr Choi,Person,GB,,False
lil Shordie Scott,Lil Shordie Scott,,,,False
Steve Miller Band,Steve Miller Band,Group,US,1967,False
Dr. Dre,Dr. Dre,Person,US,1965-02-18,False
Fivio Foreign,Fivio Foreign,Person,,1990-03-29,False
Dove Cameron,Dove Cameron,Person,US,1996-01-15,False
Mary J. Blige,Mary J. Blige,Person,US,1971-01-11,False
Saweetie,Saweetie,Person,US,1993-07-02,False
Red Hot Chili Peppers,Red Hot Chili Peppers,Group,US,1983,False
$NOT,$NOT,Person,US,1997-12-16,False
Queen Naija,Queen Naija,Person,US,1995-10-17,False
Alesso,Alesso,Person,SE,1991-07-07,False
The Chainsmokers,The Chainsmokers,Group,US,2012,False
Benny The Butcher,Benny the Butcher,Person,,1984-11-27,False
Fireboy DML,Fireboy DML,Person,,1996-02-05,False
Miranda Lambert,Miranda Lambert,Person,US,1983-11-10,False
XXXTENTACION,XXXTENTACION,Person,US,1998-01-23,True
Em Beihold,Em Beihold,Person,US,1999-01-21,False
Jaymes Young,Jaymes Young,Person,US,,False
Carlos Vives,Carlos Vives,Person,CO,1961-08-07,False
Internet Money,Internet Money,Group,US,2015-01-01,False
The Game,The Game,Person,US,1979-11-27,False
JID,JID,Person,US,1990-10-31,False
Stephanie Beatriz,Stephanie Beatriz,Person,US,1981-02-10,False
Maren Morris,Maren Morris,Person,US,1990-04-10,False
Andrew Underberg,Andrew Underberg,Person,,,False
Diane Guerrero,Diane Guerrero,Person,US,1986-07-21,False
ERNEST,Ernest Tubb,Person,US,1914-02-09,True
Sebastian Yatra,Sebastián Yatra,Person,CO,1994-10-15,False
Walker Hayes,Walker Hayes,Person,US,1979-12-27,False
Blake Shelton,Blake Shelton,Person,US,1976-06-18,False
The Walters,The Beatles,Group,GB,1960,True
Carolina Gaitán - La Gaita,Carolina Gaitán,Person,CO,1984-04-04,False
Jessica Darrow,Jessica Darrow,Person,US,1995-01-07,False
Emmy Meli,Emmy Meli,Person,,1999-12-14,False
Ari Lennox,Ari Lennox,Person,US,1991-03-26,False
Vince Guaraldi Trio,Vince Guaraldi Trio,Group,US,,False
Roddy Ricch,Roddy Ricch,Person,US,1998-10-22,False
ACRAZE,ACRAZE,Person,US,,False
Eartha Kitt,Eartha Kitt,Person,US,1927-01-17,True
Adele,Adele,Person,GB,1988-05-05,False
GAYLE,Crystal Gayle,Person,US,1951-01-09,False
State of Mine,State of Mine,Group,,2007-09-01,False
Eric Church,Eric Church,Person,US,1977-05-03,False
Arctic Monkeys,Arctic Monkeys,Group,GB,2002,False
Pop Voice Nation,Iggy Pop,Person,US,1947-04-21,False
YOUNGX777,youngx777,Person,,,False
Amaarae,Amaarae,Person,GH,1994-07-04,False
"Bobby ""Boris"" Pickett",Bobby “Boris” Pickett,Person,US,1938-02-11,True
Ray Parker Jr.,Ray Parker Jr.,Person,US,1954-05-01,False
Rockwell,Rockwell,Person,US,1964-03-15,False
Yung Miami,Yung Miami,Person,,1994-02-11,False
Swedish House Mafia,Swedish House Mafia,Group,SE,2008,False
Bryson Gray,Bryson Gray,Person,,1991-05-24,False
Wale,Wale,Person,US,1984-09-21,False
Kelsea Ballerini,Kelsea Ballerini,Person,US,1993-09-12,False
LISA,LiSA,Person,JP,1987-06-24,False
Loza Alexander,Loza Alexander,Person,,,False
NEIKED,NEIKED,Person,,1991-12-28,False
Coldplay,Coldplay,Group,GB,1996-09,False
Grupo Firme,Grupo Firme,Group,MX,2014,False
RealestK,RealestK,Person,,2004-06-05,False
Lady A,Lady A,Group,US,2006,False
Priscilla Block,Priscilla Block,Person,US,1995-08-11,False
Meek Mill,Meek Mill,Person,US,1987-05-06,False
Eslabon Armado,Eslabón Armado,Group,US,2017,False
Skylar Grey,Skylar Grey,Person,US,1986-02-23,False
Michael Ray,Ray Charles,Person,US,1930-09-23,True
Newage 6.5,Newage,,,,False
Giveon,GIVĒON,Person,US,1990-02-21,False
Blxst,Blxst,Person,US,1992-09-17,False
CKay,CKay,Person,NG,,False
THE ANXIETY,THE ANXIETY,Group,,,False
Monica,Monica,Person,US,1980-10-24,False
N2DEEP,N2Deep,Group,US,1990,False
Xavier Wulf,Xavier Wulf,Person,,1992-10-24,False
Fontaines D.C.,Ruts DC,Group,,,False
Pop Smoke,Pop Smoke,Person,US,1999-07-20,True
Skrillex,Skrillex,Person,US,1988-01-15,False
Clinton Kane,Clinton Kane,Person,AU,,False
Sueco,Sueco,Person,US,1997-01-28,False
YNW Melly,YNW Melly,Person,US,1999-05-01,False
T-Pain,T‐Pain,Person,US,1985-09-30,False
Nas,Nas,Person,US,1973-09-14,False
Hit The Button Karaoke,The Hit Crew,Group,US,,False
Nessa Barrett,Nessa Barrett,Person,US,2002-08-06,False
Kenny Chesney,Kenny Chesney,Person,US,1968-03-26,False
Aventura,Aventura,Group,US,1994,False
Capella Grey,Capella Grey,Person,,1995-08-02,False
Isaiah Rashad,Isaiah Rashad,Person,US,1991-05-16,False
Smiley,Smiley Lewis,Person,US,1913-07-05,True
Farruko,Farruko,Person,PR,1991-05-02,False
Belly,Lead Belly,Person,US,1888-01-20,True
Normani,Normani,Person,US,1996-05-31,False
